معرف الدواء,اسم الدواء,المواد الفعالة,العيارات,الشكل الصيدلاني,المصنع,التركيب الأصلي,الشكل الأصلي,حالة المصدر
26,Anti Angina 750,ranolazine,750mg,قرص مغلف,ابن الهيثم,ranolazine 750mg / c-tab,coated-tab,بيانات مكتملة
27,Anti Malaria,artemether + lumefantrine,20mg + 120mg,قرص,ابن الهيثم,artemether 20mg+lumefantrine 120mg / tab,tab,بيانات مكتملة
28,Anti Melasma,fluocinolone + hydroquinone + tretinoin 0.5mg / gr,0.1mg + 40mg + ,كريم,ابن الهيثم,fluocinolone 0.1mg+hydroquinone 40mg+tretinoin 0.5mg / gr,cream,بيانات مكتملة
29,Anxitin 10,escitalopram,10mg,قرص مغلف,ابن الهيثم,escitalopram 10mg / c-tab,coated-tab,بيانات مكتملة
30,Anxitin 20,escitalopram,20mg,قرص مغلف,ابن الهيثم,escitalopram 20mg / c-tab,coated-tab,بيانات مكتملة
31,Anxitin 5,escitalopram,5mg,قرص مغلف,ابن الهيثم,escitalopram 5mg / c-tab,coated-tab,بيانات مكتملة
32,Aprevomit 125,aprepitant,125mg,كبسولة,ابن الهيثم,aprepitant 125mg / cap,cap,بيانات مكتملة
33,Aprevomit 40,aprepitant,40mg,كبسولة,ابن الهيثم,aprepitant 40mg / cap,cap,بيانات مكتملة
34,Aprevomit 80,aprepitant,80mg,كبسولة,ابن الهيثم,aprepitant 80mg / cap,cap,بيانات مكتملة
35,Aqua Lyte banana,محلول إعاضة شوارد,,شراب,ابن الهيثم,محلول إعاضة شوارد,syrup,بيانات مكتملة
36,Aqua Lyte cherry,محلول إعاضة شوارد,,شراب,ابن الهيثم,محلول إعاضة شوارد,syrup,بيانات مكتملة
37,Aqua Lyte fruits,محلول إعاضة شوارد,,شراب,ابن الهيثم,محلول إعاضة شوارد,syrup,بيانات مكتملة
38,Aqua Lyte orange,محلول إعاضة شوارد,,شراب,ابن الهيثم,محلول إعاضة شوارد,syrup,بيانات مكتملة
39,Aqua Lyte strewberry,محلول إعاضة شوارد,,شراب,ابن الهيثم,محلول إعاضة شوارد,syrup,بيانات مكتملة
40,Argenor 1000,arginine,100mg,كبسولة,ابن الهيثم,arginine 100mg / c-tab,cap,بيانات مكتملة
41,Argenor 500,arginine,500mg,كبسولة,ابن الهيثم,arginine 500mg / cap,cap,بيانات مكتملة
42,Arginine 1000,arginine,1000mg,شراب,ابن الهيثم,arginine 1000mg / 5ml,syrup,بيانات مكتملة
43,Arginine Fort 5000,arginine 5000mg / oral-vial,,oral-vial,ابن الهيثم,arginine 5000mg / oral-vial,oral-vial,بيانات مكتملة
44,Artrofen 160,ketoprofen Lysine,160mg,تحاميل,ابن الهيثم,ketoprofen Lysine 160mg / supp,supp,بيانات مكتملة
45,Artrofen 320,ketoprofen Lysine,320mg,SR-tab,ابن الهيثم,ketoprofen Lysine 320mg / cap,SR-tab,بيانات مكتملة
46,Artrofen 5%,ketoprofen Lysine,5%,جل,ابن الهيثم,ketoprofen Lysine 5%,gel,بيانات مكتملة
47,Artrofen 80,ketoprofen Lysine,160mg,غرغرة,ابن الهيثم,ketoprofen Lysine 160mg / 5ml,gargle,بيانات مكتملة
48,Atorvastatin 10,atorvastatin,10mg,قرص مغلف,ابن الهيثم,atorvastatin 10mg / c-tab,coated-tab,بيانات مكتملة
49,Atorvastatin 20,atorvastatin,20mg,قرص مغلف,ابن الهيثم,atorvastatin 20mg / c-tab,coated-tab,بيانات مكتملة
50,Atorvastatin 40,atorvastatin,40mg,قرص مغلف,ابن الهيثم,atorvastatin 40mg / c-tab,coated-tab,بيانات مكتملة
51,Atorvastatin 80,atorvastatin,80mg,قرص مغلف,ابن الهيثم,atorvastatin 80mg / c-tab,coated-tab,بيانات مكتملة
52,Azaflutic 137/50,azelastine + fluticasone 0.050mg / puff,0.137mg + ,بخاخ أنفي,ابن الهيثم,azelastine 0.137mg+fluticasone 0.050mg / puff,nasal-spray,بيانات مكتملة
53,Azelastine 0.1%,azelastine,0.1%,بخاخ أنفي,ابن الهيثم,azelastine 0.1%,nasal-spray,بيانات مكتملة
54,Azithromycin 200,azithromycin,200mg,معلق,ابن الهيثم,azithromycin 200mg / 5ml,susp,بيانات مكتملة
55,Azithromycin 250,azithromycin,250mg,قرص مغلف,ابن الهيثم,azithromycin 250mg / c-tab,coated-tab,بيانات مكتملة
56,Azithromycin 500,azithromycin,500mg,قرص مغلف,ابن الهيثم,azithromycin 500mg / c-tab,coated-tab,بيانات مكتملة
57,Azithromycin 600,azithromycin,600mg,قرص مغلف,ابن الهيثم,azithromycin 600mg / c-tab,coated-tab,بيانات مكتملة
58,Azmixinal,bromhexine + guaifenesin + menthol + terbutaline,4mg + 50mg + 2.5mg + 1.25mg,شراب,ابن الهيثم,bromhexine 4mg+guaifenesin 50mg+menthol 2.5mg+terbutaline 1.25mg / 5ml,syrup,بيانات مكتملة
59,Baby Forte,L-taurine + manganese + vit B6 + ascorbic Acid + vit E + zinc,100mg + 1.5mg + 1.5mg + 45mg + 7.5mg + 5mg,oral-vial,ابن الهيثم,L-taurine 100mg+manganese 1.5mg+vit B6 1.5mg+ascorbic Acid 45mg+vit E 7.5mg+zinc 5mg / vial,oral-vial,بيانات مكتملة
60,Bactosin 2%,mupirocin,2%,مرهم,ابن الهيثم,mupirocin 2%,oint,بيانات مكتملة
61,Beclorecta 3,beclomethasone Dipropionate,3mg,تحاميل,ابن الهيثم,beclomethasone Dipropionate 3mg / supp,supp,بيانات مكتملة
62,Bedranol 10,propranolol,10mg,قرص,ابن الهيثم,propranolol 10mg / tab,tab,بيانات مكتملة
63,Bedranol 20,propranolol,20mg,قرص,ابن الهيثم,propranolol 20mg / tab,tab,بيانات مكتملة
64,Bedranol 40,propranolol,40mg,قرص,ابن الهيثم,propranolol 40mg / tab,tab,بيانات مكتملة
65,Be Smart,aceglutamide + DL-phosphoserine + L-aspargine + vit B6,60mg + 60mg + 60mg + 25mg,oral-vial,ابن الهيثم,aceglutamide 60mg+DL-phosphoserine 60mg+L-aspargine 60mg+vit B6 25mg / vial,oral-vial,بيانات مكتملة
66,Beta Active 10,nebivolol,10mg,قرص,ابن الهيثم,nebivolol 10mg / tab,tab,بيانات مكتملة
67,Beta Active 2.5,nebivolol,2.5mg,قرص,ابن الهيثم,nebivolol 2.5mg / tab,tab,بيانات مكتملة
68,Beta Active 20,nebivolol,20mg,قرص,ابن الهيثم,nebivolol 20mg / tab,tab,بيانات مكتملة
69,Beta Active 5,nebivolol,5mg,قرص,ابن الهيثم,nebivolol 5mg / tab,tab,بيانات مكتملة
70,Beta Active H.C.T. 5/12.5,H.C.T.Z. ( Hydro Chlor Thia Zide ) + nebivolol,12.5mg + 5mg,قرص مغلف,ابن الهيثم,H.C.T.Z. ( Hydro Chlor Thia Zide ) 12.5mg+nebivolol 5mg / tab,coated-tab,بيانات مكتملة
71,Beta Active H.C.T. 5/25,H.C.T.Z. ( Hydro Chlor Thia Zide ) + nebivolol,25mg + 5mg,قرص مغلف,ابن الهيثم,H.C.T.Z. ( Hydro Chlor Thia Zide ) 25mg+nebivolol 5mg / tab,coated-tab,بيانات مكتملة
72,Bigatran 110,dabigatran,110mg,كبسولة,ابن الهيثم,dabigatran 110mg / cap,cap,بيانات مكتملة
73,Bigatran 150,dabigatran,150mg,كبسولة,ابن الهيثم,dabigatran 150mg / cap,cap,بيانات مكتملة
74,Bigatran 75,dabigatran,75mg,كبسولة,ابن الهيثم,dabigatran 75mg / cap,cap,بيانات مكتملة
75,Bisoprol 10,bisoprolol,10mg,قرص مغلف,ابن الهيثم,bisoprolol 10mg / c-tab,coated-tab,بيانات مكتملة
76,Bisoprol 2.5,bisoprolol,2.5mg,قرص مغلف,ابن الهيثم,bisoprolol 2.5mg / c-tab,coated-tab,بيانات مكتملة
77,Bisoprol 5,bisoprolol,5mg,c-tab pl-bottle,ابن الهيثم,bisoprolol 5mg / c-tab,c-tab pl-bottle,بيانات مكتملة
78,Bisoprol H.C.T. 10/6.25,bisoprolol + H.C.T.Z. ( Hydro Chlor Thia Zide ),10mg + 6.25mg,قرص مغلف,ابن الهيثم,bisoprolol 10mg+H.C.T.Z. ( Hydro Chlor Thia Zide ) 6.25mg / tab,coated-tab,بيانات مكتملة
79,Bisoprol H.C.T. 2.5/6.25,bisoprolol + H.C.T.Z. ( Hydro Chlor Thia Zide ),2.5mg + 6.25mg,قرص مغلف,ابن الهيثم,bisoprolol 2.5mg+H.C.T.Z. ( Hydro Chlor Thia Zide ) 6.25mg / tab,coated-tab,بيانات مكتملة
80,Bisoprol H.C.T. 5/6.25,bisoprolol + H.C.T.Z. ( Hydro Chlor Thia Zide ),5mg + 6.25mg,قرص مغلف,ابن الهيثم,bisoprolol 5mg+H.C.T.Z. ( Hydro Chlor Thia Zide ) 6.25mg / tab,coated-tab,بيانات مكتملة
81,Bona Vit 340,strontium Ranelate,340mg,كبسولة,ابن الهيثم,strontium Ranelate 340mg / cap,cap,بيانات مكتملة
82,Bradicore 5,ivabradine,5mg,قرص مغلف,ابن الهيثم,ivabradine 5mg / c-tab,coated-tab,بيانات مكتملة
83,Bradicore 7.5,ivabradine,7.5mg,قرص مغلف,ابن الهيثم,ivabradine 7.5mg / c-tab,coated-tab,بيانات مكتملة
84,Brodimexin,ammonium Hydrochloride + bromhexine + dextromethorphan + pseudoephedrine,50mg + 4mg + 5mg + 30mg,شراب,ابن الهيثم,ammonium Hydrochloride 50mg+bromhexine 4mg+dextromethorphan 5mg+pseudoephedrine 30mg / 5ml,syrup,بيانات مكتملة
85,Brodimexin-Old,ammonium Hydrochloride + bromhexine + dextromethorphan + menthol + pseudoephedrine,50mg + 4mg + 5mg + 2.5mg + 30mg,شراب,ابن الهيثم,ammonium Hydrochloride 50mg+bromhexine 4mg+dextromethorphan 5mg+menthol 2.5mg+pseudoephedrine 30mg / 5ml,syrup,بيانات مكتملة
86,Broncholysine,carbo Cisteine,450mg,شراب,ابن الهيثم,carbo Cisteine 450mg / 5ml,syrup,بيانات مكتملة
87,Brophenil,dimetindene + phenylephrine 2.5mg / gr,0.250mg + ,nasal-gel,ابن الهيثم,dimetindene 0.250mg+phenylephrine 2.5mg / gr,nasal-gel,بيانات مكتملة
88,Budelar 200,budesonide 0.2mg / inh-cap,,cap for inhal,ابن الهيثم,budesonide 0.2mg / inh-cap,cap for inhal,بيانات مكتملة
89,Budelar 400,budesonide 0.4mg / inh-cap,,cap for inhal,ابن الهيثم,budesonide 0.4mg / inh-cap,cap for inhal,بيانات مكتملة
90,Budevent 12/400,budesonide + formoterol 0.012mg / inh-cap,0.4mg + ,cap for inhal,ابن الهيثم,budesonide 0.4mg+formoterol 0.012mg / inh-cap,cap for inhal,بيانات مكتملة
91,Budevent 6/200,budesonide + formoterol 0.006mg / inh-cap,0.2mg + ,cap for inhal,ابن الهيثم,budesonide 0.2mg+formoterol 0.006mg / inh-cap,cap for inhal,بيانات مكتملة
92,Butaxin 5,butamirate 5mg / ml,,قطرات فموية,ابن الهيثم,butamirate 5mg / ml,oral-drops,بيانات مكتملة
93,Butaxin 7.5,butamirate,7.5mg,شراب,ابن الهيثم,butamirate 7.5mg / 5ml,syrup,بيانات مكتملة
94,Cadulip 5/10,amlodipine + atorvastatin,5mg + 10mg,قرص مغلف,ابن الهيثم,amlodipine 5mg+atorvastatin 10mg / c-tab,coated-tab,بيانات مكتملة
95,Cadulip 5/20,amlodipine + atorvastatin,5mg + 20mg,قرص مغلف,ابن الهيثم,amlodipine 5mg+atorvastatin 20mg / c-tab,coated-tab,بيانات مكتملة
96,Cadulip 5/40,amlodipine + atorvastatin,5mg + 40mg,قرص مغلف,ابن الهيثم,amlodipine 5mg+atorvastatin 40mg / c-tab,coated-tab,بيانات مكتملة
97,Cafin 55,caffeine 55mg / gum,,gum,ابن الهيثم,caffeine 55mg / gum,gum,بيانات مكتملة
98,Cafin Plus,caffeine + taurine 25mg / gum,100mg + ,gum,ابن الهيثم,caffeine 100mg+taurine 25mg / gum,gum,بيانات مكتملة
99,Candesartan 16,candesartan,16mg,قرص,ابن الهيثم,candesartan 16mg / tab,tab,بيانات مكتملة
100,Candesartan 32,candesartan,32mg,قرص,ابن الهيثم,candesartan 32mg / tab,tab,بيانات مكتملة
101,Candesartan 4,candesartan,4mg,قرص,ابن الهيثم,candesartan 4mg / tab,tab,بيانات مكتملة
102,Candesartan 8,candesartan,8mg,قرص,ابن الهيثم,candesartan 8mg / tab,tab,بيانات مكتملة
103,Cardio Valsartan 24/26,sacubitril + valsartan,24.3mg + 25.7mg,قرص مغلف,ابن الهيثم,sacubitril 24.3mg+valsartan 25.7mg / c-tab,coated-tab,بيانات مكتملة
104,Cardio Valsartan 49/51,sacubitril + valsartan,48.6mg + 51.4mg,قرص مغلف,ابن الهيثم,sacubitril 48.6mg+valsartan 51.4mg / c-tab,coated-tab,بيانات مكتملة
105,Cardio Valsartan 97/103,sacubitril + valsartan,97.2mg + 102.8mg,قرص مغلف,ابن الهيثم,sacubitril 97.2mg+valsartan 102.8mg / c-tab,coated-tab,بيانات مكتملة
106,Catabrez 150,indacaterol 150mg / inh-cap,,inh-cap,ابن الهيثم,indacaterol 150mg / inh-cap,inh-cap,بيانات مكتملة
107,Catabrez 300,indacaterol 300mg / inh-cap,,inh-cap,ابن الهيثم,indacaterol 300mg / inh-cap,inh-cap,بيانات مكتملة
108,Cavid MZ,calcium Carbonate + magnesium Hydroxide + vit D + Zincsulfate,400mg + 150mg + 0.005mg + 5mg,قرص مغلف,ابن الهيثم,calcium Carbonate 400mg+magnesium Hydroxide 150mg+vit D 0.005mg+Zincsulfate 5mg / c-tab,coated-tab,بيانات مكتملة
109,Cetagrip,diphenhydramine + paracetamol + phenylephrine,12.5mg + 325mg + 5mg,قرص مغلف,ابن الهيثم,diphenhydramine 12.5mg+paracetamol 325mg+phenylephrine 5mg / c-tab,coated-tab,بيانات مكتملة
110,Cetagrip Day&Night,chlorpheniramine + dextromethorphan + paracetamol + phenylephrine,2mg + 15mg + 500mg + 5mg,قرص,ابن الهيثم,chlorpheniramine 2mg+dextromethorphan 15mg+paracetamol 500mg+phenylephrine 5mg / tab,tab,بيانات مكتملة
111,Chitostat,cellulose Fibers + chitosan + ascorbic Acid, + 500mg + 30mg,قرص مغلف,ابن الهيثم,cellulose Fibers+chitosan 500mg+ascorbic Acid 30mg / c-tab,coated-tab,بيانات مكتملة
112,Ciprofloxacin 250,ciprofloxacin,250mg,قرص مغلف,ابن الهيثم,ciprofloxacin 250mg / c-tab,coated-tab,بيانات مكتملة
113,Ciprofloxacin 500,ciprofloxacin,500mg,قرص مغلف,ابن الهيثم,ciprofloxacin 500mg / c-tab,coated-tab,بيانات مكتملة
114,Ciprofloxacin 750,ciprofloxacin,750mg,قرص مغلف,ابن الهيثم,ciprofloxacin 750mg / c-tab,coated-tab,بيانات مكتملة
115,Clarithromycin 125,clarithromycin,125mg,dry-syrup,ابن الهيثم,clarithromycin 125mg / 5ml,dry-syrup,بيانات مكتملة
116,Clarithromycin 250,clarithromycin,250mg,dry-syrup,ابن الهيثم,clarithromycin 250mg / 5ml,dry-syrup,بيانات مكتملة
117,Clarithromycin MR 500,clarithromycin,500mg,MR-tab,ابن الهيثم,clarithromycin 500mg / c-tab,MR-tab,بيانات مكتملة
118,Clonazepam 0.5,clonazepam,0.5mg,قرص مغلف,ابن الهيثم,clonazepam 0.5mg / tab,coated-tab,بيانات مكتملة
119,Clonazepam 1,clonazepam,1mg,قرص مغلف,ابن الهيثم,clonazepam 1mg / tab,coated-tab,بيانات مكتملة
120,Clonazepam 2,clonazepam,2mg,قرص مغلف,ابن الهيثم,clonazepam 2mg / tab,coated-tab,بيانات مكتملة
121,Clonazepam 2.5,clonazepam 2.5mg / ml,,قطرات فموية,ابن الهيثم,clonazepam 2.5mg / ml,oral-drops,بيانات مكتملة
122,Collagen 1000,collagen Hydrolyzed + ascorbic Acid,1000mg + 10mg,قرص مغلف,ابن الهيثم,collagen Hydrolyzed 1000mg+ascorbic Acid 10mg / c-tab,coated-tab,بيانات مكتملة
123,Coxibet 120,etoricoxib,120mg,قرص مغلف,ابن الهيثم,etoricoxib 120mg / c-tab,coated-tab,بيانات مكتملة
124,Coxibet 30,etoricoxib,30mg,قرص مغلف,ابن الهيثم,etoricoxib 30mg / c-tab,coated-tab,بيانات مكتملة
125,Coxibet 60,etoricoxib,60mg,قرص مغلف,ابن الهيثم,etoricoxib 60mg / c-tab,coated-tab,بيانات مكتملة
126,Coxibet 90,etoricoxib,90mg,قرص مغلف,ابن الهيثم,etoricoxib 90mg / c-tab,coated-tab,بيانات مكتملة
127,Dapoxetine 30,dapoxetine,30mg,قرص مغلف,ابن الهيثم,dapoxetine 30mg / c-tab,coated-tab,بيانات مكتملة
128,Dapoxetine 60,dapoxetine,60mg,قرص مغلف,ابن الهيثم,dapoxetine 60mg / c-tab,coated-tab,بيانات مكتملة
129,Decalerto 10,rivaroxaban,10mg,قرص مغلف,ابن الهيثم,rivaroxaban 10mg / c-tab,coated-tab,بيانات مكتملة
130,Decalerto 15,rivaroxaban,15mg,قرص مغلف,ابن الهيثم,rivaroxaban 15mg / c-tab,coated-tab,بيانات مكتملة
131,Decalerto 2.5,rivaroxaban,2.5mg,قرص مغلف,ابن الهيثم,rivaroxaban 2.5mg / c-tab,coated-tab,بيانات مكتملة
132,Decalerto 20,rivaroxaban,20mg,قرص مغلف,ابن الهيثم,rivaroxaban 20mg / c-tab,coated-tab,بيانات مكتملة
133,Decaletro 20,rivaroxaban,20mg,قرص مغلف,ابن الهيثم,rivaroxaban 20mg / c-tab,coated-tab,بيانات مكتملة
134,Dentalin 0.5%,amylocaine,0.5%,oral-gel,ابن الهيثم,amylocaine 0.5%,oral-gel,بيانات مكتملة
135,Depretin 20,paroxetine,20mg,قرص,ابن الهيثم,paroxetine 20mg / tab,tab,بيانات مكتملة
136,Depretin 30,paroxetine,30mg,قرص مغلف,ابن الهيثم,paroxetine 30mg / tab,coated-tab,بيانات مكتملة
137,Depretin 40,paroxetine,40mg,قرص مغلف,ابن الهيثم,paroxetine 40mg / tab,coated-tab,بيانات مكتملة
138,Dexlans 30,dexlansoprazole 30mg / DR-cap,,DR-cap,ابن الهيثم,dexlansoprazole 30mg / DR-cap,DR-cap,بيانات مكتملة
139,Dexlans 60,dexlansoprazole 60mg / DR-cap,,DR-cap,ابن الهيثم,dexlansoprazole 60mg / DR-cap,DR-cap,بيانات مكتملة
140,Diabeset 120,nateglinide,120mg,قرص مغلف,ابن الهيثم,nateglinide 120mg / c-tab,coated-tab,بيانات مكتملة
141,Diabeset 60,nateglinide,60mg,قرص مغلف,ابن الهيثم,nateglinide 60mg / c-tab,coated-tab,بيانات مكتملة
142,Digestive Aid,cellulase + dimethicone + methexene + pepsine + ,20mg + 20mg + 1mg + 150mg + ,قرص مغلف,ابن الهيثم,cellulase 20mg+dimethicone 20mg+methexene 1mg+pepsine 150mg+ / c-tab,coated-tab,بيانات مكتملة
143,Diopiravin 75/100,acetyl Salicylic Acid + clopidogrel,100mg + 75mg,قرص مغلف,ابن الهيثم,acetyl Salicylic Acid 100mg+clopidogrel 75mg / c-tab,coated-tab,بيانات مكتملة
144,Diopiravin 75/75,acetyl Salicylic Acid + clopidogrel,75mg + 75mg,قرص مغلف,ابن الهيثم,acetyl Salicylic Acid 75mg+clopidogrel 75mg / c-tab,coated-tab,بيانات مكتملة
145,Diosminal V,diosmin + hesperidin,450mg + 50mg,قرص مغلف,ابن الهيثم,diosmin 450mg+hesperidin 50mg / c-tab,coated-tab,بيانات مكتملة
146,Dopactive 25/100,carbidopa + levodopa,25mg + 100mg,قرص,ابن الهيثم,carbidopa 25mg+levodopa 100mg / tab,tab,بيانات مكتملة
147,Dopactive 25/250,carbidopa + levodopa,25mg + 250mg,قرص,ابن الهيثم,carbidopa 25mg+levodopa 250mg / tab,tab,بيانات مكتملة
148,Duoderm,adapalene + benzoyl Peroxide,0.1% + 2.5%,جل,ابن الهيثم,adapalene 0.1%+benzoyl Peroxide 2.5%,gel,بيانات مكتملة
149,Duoderm Forte,adapalene + benzoyl Peroxide,0.3% + 2.5%,جل,ابن الهيثم,adapalene 0.3%+benzoyl Peroxide 2.5%,gel,بيانات مكتملة
150,Elixus 2.5,apixaban,2.5mg,كبسولة,ابن الهيثم,apixaban 2.5mg / cap,cap,بيانات مكتملة
151,Elixus 5,apixaban,5mg,كبسولة,ابن الهيثم,apixaban 5mg / cap,cap,بيانات مكتملة
152,Empa Pure 10,empagliflozin,10mg,قرص مغلف,ابن الهيثم,empagliflozin 10mg / c-tab,coated-tab,بيانات مكتملة
153,Empa Pure 25,empagliflozin,25mg,قرص مغلف,ابن الهيثم,empagliflozin 25mg / c-tab,coated-tab,بيانات مكتملة
154,Enalapril 10,enalapril,10mg,قرص,ابن الهيثم,enalapril 10mg / tab,tab,بيانات مكتملة
155,Enalapril 20,enalapril,20mg,قرص,ابن الهيثم,enalapril 20mg / tab,tab,بيانات مكتملة
156,Enalapril HCT 10/25,enalapril + H.C.T.Z. ( Hydro Chlor Thia Zide ),10mg + 25mg,قرص,ابن الهيثم,enalapril 10mg+H.C.T.Z. ( Hydro Chlor Thia Zide ) 25mg / tab,tab,بيانات مكتملة
157,Enalapril HCT 20/12.5,enalapril + H.C.T.Z. ( Hydro Chlor Thia Zide ),20mg + 12.5mg,قرص,ابن الهيثم,enalapril 20mg+H.C.T.Z. ( Hydro Chlor Thia Zide ) 12.5mg / tab,tab,بيانات مكتملة
158,Energetic,essential Elements + multivitamins, + ,قرص مغلف,ابن الهيثم,essential Elements+multivitamins / c-tab,coated-tab,بيانات مكتملة
159,Extra Time,lidocaine + prilocaine,2.5% + 2.5%,جل,ابن الهيثم,lidocaine 2.5%+prilocaine 2.5%,gel,بيانات مكتملة
160,Fast Action,pseudoephedrine + triprolidine,60mg + 2.5mg,قرص,ابن الهيثم,pseudoephedrine 60mg+triprolidine 2.5mg / tab,tab,بيانات مكتملة
161,Fenogesic 600,ibuprofen 600mg / sachet,,ظرف,ابن الهيثم,ibuprofen 600mg / sachet,sachet,بيانات مكتملة
162,Fenogesic Plus,ibuprofen + paracetamol,400mg + 500mg,قرص مغلف,ابن الهيثم,ibuprofen 400mg+paracetamol 500mg / c-tab,coated-tab,بيانات مكتملة
163,Fexofenadine 120,fexofenadine,120mg,قرص,ابن الهيثم,fexofenadine 120mg / tab,tab,بيانات مكتملة
164,Fexofenadine 180,fexofenadine,180mg,قرص,ابن الهيثم,fexofenadine 180mg / tab,tab,بيانات مكتملة
165,Fexofenadine 30,fexofenadine,30mg,معلق,ابن الهيثم,fexofenadine 30mg / 5ml,susp,بيانات مكتملة
166,Fexofenadine 60,fexofenadine,60mg,كبسولة,ابن الهيثم,fexofenadine 60mg / tab,cap,بيانات مكتملة
167,Fexofenadine D12,fexofenadine + pseudoephedrine,60mg + 120mg,قرص مغلف,ابن الهيثم,fexofenadine 60mg+pseudoephedrine 120mg / c-tab,coated-tab,بيانات مكتملة
168,Fexofenadine D24,fexofenadine + pseudoephedrine,180mg + 240mg,SR-tab,ابن الهيثم,fexofenadine 180mg+pseudoephedrine 240mg / c-tab,SR-tab,بيانات مكتملة
169,Flonacort 0.05,fluticasone 0.050mg / puff,,dose nasal-spray,ابن الهيثم,fluticasone 0.050mg / puff,dose nasal-spray,بيانات مكتملة
170,Floxalive 500,levofloxacin,500mg,قرص مغلف,ابن الهيثم,levofloxacin 500mg / c-tab,coated-tab,بيانات مكتملة
171,Floxalive 750,levofloxacin,750mg,قرص مغلف,ابن الهيثم,levofloxacin 750mg / c-tab,coated-tab,بيانات مكتملة
172,Flucare,loratadine + phenylephrine,2.5mg + 10mg,قرص,ابن الهيثم,loratadine 2.5mg+phenylephrine 10mg / tab,tab,بيانات مكتملة
173,Fluva 20,fluvastatin,20mg,كبسولة,ابن الهيثم,fluvastatin 20mg / cap,cap,بيانات مكتملة
174,Fluva 40,fluvastatin,40mg,كبسولة,ابن الهيثم,fluvastatin 40mg / cap,cap,بيانات مكتملة
