معرف الدواء,اسم الدواء,الشكل الأصلي,المصنع,التركيب الأصلي,حالة المصدر
8215,Glycerin Soap,soap,غرين,,التركيب غير موجود في APK
8216,Green Balsam,balsam,غرين,,التركيب غير موجود في APK
8217,Greenbu Scar,cream,غرين,,التركيب غير موجود في APK
8218,Green Coffe,cap,غرين,,التركيب غير موجود في APK
8219,Greene Bo Burns,cream,غرين,,التركيب غير موجود في APK
8220,Greene Bo Cracks,cream,غرين,,التركيب غير موجود في APK
8223,Greenergy Ginkgo,cap,غرين,,التركيب غير موجود في APK
8224,Green Flowers,sachet,غرين,,التركيب غير موجود في APK
8225,Green GBAcne,soap,غرين,,التركيب غير موجود في APK
8226,Green GBCollagen,soap,غرين,,التركيب غير موجود في APK
8227,Green GBOily,soap,غرين,,التركيب غير موجود في APK
8228,Green GBPyroxide,soap,غرين,,التركيب غير موجود في APK
8229,Green GBWhitning,soap,غرين,,التركيب غير موجود في APK
8230,Greenitol,soap,غرين,,التركيب غير موجود في APK
8231,Green Oil,oil,غرين,,التركيب غير موجود في APK
8232,Green Pharma,balsam,غرين,,التركيب غير موجود في APK
8233,Green Shampoo,shampoo,غرين,,التركيب غير موجود في APK
8234,Green Strips Aromatic&Propolis,loz,غرين,,التركيب غير موجود في APK
8235,Green Sun,cream,غرين,,التركيب غير موجود في APK
8236,Green Sun SPF97,cream,غرين,,التركيب غير موجود في APK
8238,Green Til,cap,غرين,,التركيب غير موجود في APK
8239,Green Tonic,lotion,غرين,,التركيب غير موجود في APK
8240,Honey Soap,soap,غرين,,التركيب غير موجود في APK
8241,Lauryl Soap,soap,غرين,,التركيب غير موجود في APK
8242,Lavert Baby Balsam,balsam,غرين,,التركيب غير موجود في APK
8243,Lavert Baby Lotion,lotion,غرين,,التركيب غير موجود في APK
8244,Lavert Baby POil,oil,غرين,,التركيب غير موجود في APK
8245,Lavert Baby Powder,powder,غرين,,التركيب غير موجود في APK
8246,Lavert Baby Shampoo,shampoo,غرين,,التركيب غير موجود في APK
8247,Lavert Baby Soap,soap,غرين,,التركيب غير موجود في APK
8248,Lavert Baby Zinc,cream,غرين,,التركيب غير موجود في APK
8249,Lavert Cammomil,cream,غرين,,التركيب غير موجود في APK
8250,Lavert Cream For Hand,cream,غرين,,التركيب غير موجود في APK
8251,Lavert Whitning,cream,غرين,,التركيب غير موجود في APK
8252,Lavert Zinc,cream,غرين,,التركيب غير موجود في APK
8253,Nigella Soap,soap,غرين,,التركيب غير موجود في APK
8255,Oily Soap,soap,غرين,,التركيب غير موجود في APK
8257,Peronan GP,shampoo,غرين,,التركيب غير موجود في APK
8258,Peroxid,soap,غرين,,التركيب غير موجود في APK
8259,Povidone,soap,غرين,,التركيب غير موجود في APK
8260,Povidone G,solu,غرين,,التركيب غير موجود في APK
8264,Slimming Soap,soap,غرين,,التركيب غير موجود في APK
8265,Stereach Mark,cream,غرين,,التركيب غير موجود في APK
8267,Strips,lozenges,غرين,,التركيب غير موجود في APK
8268,Veno Thym Biotic,cap,غرين,,التركيب غير موجود في APK
8270,Whitening,cream,غرين,,التركيب غير موجود في APK
8275,Artral Collagen,coated-tab,فارس,,التركيب غير موجود في APK
8386,Zinc C,tab,فارس,,التركيب غير موجود في APK
8387,Zinc CComp,tab,فارس,,التركيب غير موجود في APK
8411,Condoramine,cap,فارماسير,,التركيب غير موجود في APK
8471,Osteovit,coated-tab,فارماسير,,التركيب غير موجود في APK
8533,Blue Freez,gel,فيتا,,التركيب غير موجود في APK
8540,Careleg,lotion,فيتا,,التركيب غير موجود في APK
8586,Globivite Fort,coated-tab,فيتا,,التركيب غير موجود في APK
8593,Green Vit,cap,فيتا,,التركيب غير موجود في APK
8598,Joint Fix Cold,cream,فيتا,,التركيب غير موجود في APK
8607,Lubravana,lubricant-solu,فيتا,,التركيب غير موجود في APK
8626,Omega3Vit Mono Dose,1-dose syrup,فيتا,,التركيب غير موجود في APK
8635,Osteo Fix Plus,,فيتا,calcium 600mg+collagen +copper 0.5mg+magnesium 40mg+manganese 1.8mg+vit D3 500i.u.+vit K2 +zinc 7.5mg / c-tab,الشكل الصيدلاني غير موجود في APK
8677,Vitadeep,cream,فيتا,,التركيب غير موجود في APK
8686,Vita Heat,oint,فيتا,,التركيب غير موجود في APK
8689,Vitamin C,chew-tab,فيتا,,التركيب غير موجود في APK
8700,Vita Vision,coated-tab,فيتا,,التركيب غير موجود في APK
8704,Vita Zinc Plus,cap,فيتا,,التركيب غير موجود في APK
8710,Bromelin Fort,coated-tab,فيتال,,التركيب غير موجود في APK
8711,Cal Klin,eff-tab,فيتال,,التركيب غير موجود في APK
8712,Carbo Vital,tab,فيتال,,التركيب غير موجود في APK
8713,Ccalcium,eff-tab,فيتال,,التركيب غير موجود في APK
8714,Cvitamin,eff-tab,فيتال,,التركيب غير موجود في APK
8715,DCalcim,tab,فيتال,,التركيب غير موجود في APK
8716,DCalcium Plus,tab,فيتال,,التركيب غير موجود في APK
8717,Diclobetazon B12,coated-tab,فيتال,,التركيب غير موجود في APK
8718,Diclo Vit B,coated-tab,فيتال,,التركيب غير موجود في APK
8719,Ferrotal,eff-tab,فيتال,,التركيب غير موجود في APK
8720,Flagytal 500,coated-tab,فيتال,,التركيب غير موجود في APK
8721,Flavotal,coated-tab,فيتال,,التركيب غير موجود في APK
8722,Foli Vit,tab,فيتال,,التركيب غير موجود في APK
8723,Glucos Amin 500,coated-tab,فيتال,,التركيب غير موجود في APK
8724,Neyrotal Fort,coated-tab,فيتال,,التركيب غير موجود في APK
8725,Setamol 1000,tab,فيتال,,التركيب غير موجود في APK
8726,Setamol 500,tab,فيتال,,التركيب غير موجود في APK
8856,R R,,,,التركيب غير موجود في APK
9028,Biogain,shampoo,لاما,,التركيب غير موجود في APK
9085,Leem Yeast,coated-tab,ليم,,التركيب غير موجود في APK
9093,Max Power 250,cap,ليم,,التركيب غير موجود في APK
9123,Vitamin B1,cap,ليم,,التركيب غير موجود في APK
9205,Fenetol Green 500,solu,مالح,,التركيب غير موجود في APK
9206,Phenitol spray,spray,مالح,,التركيب غير موجود في APK
9208,Salirvex,solu,مالح,,التركيب غير موجود في APK
9212,Zephdic Fast,solu,مالح,,التركيب غير موجود في APK
9213,Zephdic Plus,solu,مالح,,التركيب غير موجود في APK
9214,Zestinol,solu,مالح,,التركيب غير موجود في APK
9231,Aqua Z,cream,متحدة,,التركيب غير موجود في APK
9299,Naso Salt 0.65%,nasal-spray,متحدة,,التركيب غير موجود في APK
9302,New IR3535,spray,متحدة,,التركيب غير موجود في APK
9303,Oily Cream Dexpanthenol,cream,متحدة,,التركيب غير موجود في APK
9304,Olina,oil,متحدة,,التركيب غير موجود في APK
9418,Varortin 50,tab,مستقبل,,التركيب غير موجود في APK
9419,Varortin XR 100,cap,مستقبل,,التركيب غير موجود في APK
9422,Aldolox,susp,مسعود,,التركيب غير موجود في APK
9582,Vita Tic BComplex 200,,مسعود,,التركيب غير موجود في APK
9583,Vita Tic BComplex 5,,مسعود,,التركيب غير موجود في APK
9641,Tifapam 1,,ملكارت,lorazepam 1mg / tab,الشكل الصيدلاني غير موجود في APK
9642,Tifapam 2,,ملكارت,lorazepam 2mg / tab,الشكل الصيدلاني غير موجود في APK
9646,Alcool 70%,solu,مياميد,,التركيب غير موجود في APK
9921,Mediclean,solu green+pump,ميديكو,,التركيب غير موجود في APK
9922,Medicocare,pump,ميديكو,,التركيب غير موجود في APK
9923,Medicosept,pump,ميديكو,,التركيب غير موجود في APK
9932,Medithrine,shampoo,ميديكو,,التركيب غير موجود في APK
9992,Pure Care,hand-gel,ميديكو,,التركيب غير موجود في APK
10276,Ich Free,gel,ميرسي,,التركيب غير موجود في APK
10307,Salutere PLG,gel,ميرسي,,التركيب غير موجود في APK
10318,Sun Block 45,cream,ميرسي,,التركيب غير موجود في APK
10320,Vitamin Eye Lotion,lotion,ميرسي,,التركيب غير موجود في APK
10344,Otromega 500,coated-tab,ميغا,,التركيب غير موجود في APK
10345,Otromega 750,coated-tab,ميغا,,التركيب غير موجود في APK
10375,Hasy C,coated-tab,نورس,,التركيب غير موجود في APK
10377,Hasy C+Zinc,coated-tab,نورس,,التركيب غير موجود في APK
10379,Hasy Clean,hand-gel,نورس,,التركيب غير موجود في APK
10404,Hasy Zinc 50,coated-tab,نورس,,التركيب غير موجود في APK
10426,Husta New 480,syrup,نيو فارما,,التركيب غير موجود في APK
10447,Herb C,chew-tab,هلال,,التركيب غير موجود في APK
10448,Hiaston,coated-tab,هلال,,التركيب غير موجود في APK
10450,Hillman,coated-tab,هلال,,التركيب غير موجود في APK
10452,Phinix Plus,coated-tab,هلال,,التركيب غير موجود في APK
10566,Jhealth,coated-tab,هيومن,,التركيب غير موجود في APK
10567,Koolex,tab,هيومن,,التركيب غير موجود في APK
10636,Trifero,coated-tab,هيومن,,التركيب غير موجود في APK
10644,Vit C,chew-tab,هيومن,,التركيب غير موجود في APK
10824,Bay,spray,يوسف,,التركيب غير موجود في APK
10829,Citranol,cream,يوسف,,التركيب غير موجود في APK
10836,Eczemol,cream,يوسف,,التركيب غير موجود في APK
10837,Erbotan,cream,يوسف,,التركيب غير موجود في APK
10840,Foot Care,,يوسف,,التركيب غير موجود في APK
10841,Forhaema,cap,يوسف,,التركيب غير موجود في APK
10842,GS,powder,يوسف,,التركيب غير موجود في APK
10843,Hexamidine,solu,يوسف,,التركيب غير موجود في APK
10845,Konan,,يوسف,,التركيب غير موجود في APK
10846,Lastrina,gargle,يوسف,,التركيب غير موجود في APK
10852,Night One,cream,يوسف,,التركيب غير موجود في APK
10854,Panta,cream,يوسف,,التركيب غير موجود في APK
10855,Panta&Erbotan,cream,يوسف,,التركيب غير موجود في APK
10857,Panta A,cream,يوسف,,التركيب غير موجود في APK
10858,Panta Vera,cream,يوسف,,التركيب غير موجود في APK
10859,Povidone 10% Blue,solu,يوسف,,التركيب غير موجود في APK
10860,Povidone 4% Red,solu,يوسف,,التركيب غير موجود في APK
10861,Saftey,rectal-douch,يوسف,,التركيب غير موجود في APK
10863,Usical,solu,يوسف,,التركيب غير موجود في APK
10864,Vaslin,lotion,يوسف,,التركيب غير موجود في APK
10865,White Peel,cream,يوسف,,التركيب غير موجود في APK
10869,Zinc Cream,cream,يوسف,,التركيب غير موجود في APK
11052,Dentium,tooth-paste,يونيفارما,,التركيب غير موجود في APK
11053,Dentium sensetive-teeth,tooth-paste,يونيفارما,,التركيب غير موجود في APK
11054,Dentium Whirening,tooth-paste,يونيفارما,,التركيب غير موجود في APK
11055,Dentium Gargle,gargle,يونيفارما,,التركيب غير موجود في APK
11123,Kaspro 25,ER-cap,يونيفارما,,التركيب غير موجود في APK
11179,Provita Plus,cream,يونيفارما,,التركيب غير موجود في APK
11232,Unadol For Women,coated-tab,يونيفارما,,التركيب غير موجود في APK
